ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3254329,"Stein, Erwin",许坦，厄文,,1885-1958,奥地利,音乐学；著作,nan,2017-08-08
3254330,"Stein, Fritz William","许坦,弗利兹",,1879-1961,德国,音乐学；指挥,nan,2017-08-08
3254331,"Stein, Richard Heinrich","许坦,理查",,1882-1942,德国,作曲,nan,2017-08-08
3254332,"Steinbach, Emil","许坦巴赫,爱弥尔",,1849-1919,德国,指挥,nan,2017-08-08
3254333,"Steinbach, Fritz","许坦巴赫,弗利兹",,1855-1916,德国,指挥,nan,2017-08-08
3254334,"Steinberg, Maximilian",史坦贝格,,1883-1946,俄国,作曲,nan,2017-08-08
3254335,"Steinberg, William",斯坦贝格,,1899-1978,美国,指挥,德裔,2017-08-08
3254336,"Steinecker, Anton",史特内兹克,,1971-,斯洛伐克,作曲,nan,2017-08-08
3254337,"Steiner, Max",许泰纳,,1888-1971,美国,作曲,奥裔,2017-08-08
3254338,"Steinert, Alexander Lang",斯泰奈特,,1900-1982,美国,指挥；钢琴；作曲,nan,2017-08-08
3254339,"Steinway, Heinrich",史坦威,,1797-1871,德国,钢琴制造,nan,2017-08-08
3254340,"Stella, Simone",斯特拉,,1981-,义大利,作曲,nan,2017-08-08
3254341,"Stenhammar, Wilhelm Eugen",史登哈玛,,1871-1927,瑞典,作曲；指挥,nan,2017-08-08
3254342,"Stephan, Naomi","斯提芬,纳欧米",,1938-,美国,作曲,nan,2017-08-08
3254343,"Stephan, Rudi","许特方,路迪",,1887-1915,德国,作曲,nan,2017-08-08
3254344,"Stephen, David","斯提芬,大卫",,1869-1946,英国,管风琴；作曲,nan,2017-08-08
3254345,"Stephens, Catherine",斯提芬丝,,1794-1882,英国,声乐,女高音,2017-08-08
3254346,"Steptoe, Roger",斯特普托,,1953-,英国,作曲；钢琴,nan,2017-08-08
3254347,"Sterling, Antoinette",斯特玲,,1850-1904,美国,声乐,女低音,2017-08-08
3254348,"Stern, Isaac",斯特恩,,1920-2001,美国,小提琴,俄裔,2017-08-08
3254349,"Stern, Julius",许特恩,,1820-1883,德国,指挥；作曲,nan,2017-08-08
3254350,"Steuermann, Eduard",斯托尔曼,,1892-1964,美国,钢琴；作曲,波裔,2017-08-08
3254351,"Stevens, Bernard","斯提文斯,贝纳德",,1916-1983,英国,作曲,nan,2017-08-08
3254352,"Stevens, Denis","斯提文斯,丹尼斯",,1922-2004,英国,小提琴；音乐学,nan,2017-08-08
3254353,"Stevens, Halsey","斯提文斯,哈西",,1908-1989,美国,作曲；音乐学,nan,2017-08-08
3254354,"Stevens, Horace","斯提文斯,霍瑞斯",,1876-1950,澳大利亚,声乐,男低音,2017-08-08
3254355,"Stevens, James","斯提文斯,詹姆士",,1923-,英国,作曲,nan,2017-08-08
3254356,"Stevens, Paul","斯提文斯,保罗",,1923-,英国,作曲,nan,2017-08-08
3254357,"Stevens, Richard","斯提文斯,理查",,1757-1837,英国,作曲；管风琴,nan,2017-08-08
3254358,"Stevens, Risë","斯提文斯,瑞瑟",,1913-2013,美国,声乐,次女高音,2017-08-08
3254359,"Stevenson, John","斯提文森,约翰",,1761-1833,爱尔兰,作曲,nan,2017-08-08
3254360,"Stevenson, Ronald","斯提文森,罗纳德",,1928-,英国,作曲；钢琴,nan,2017-08-08
3254361,"Stewart, Thomas",斯徒华,,1928-2006,美国,声乐,男中音,2017-08-08
3254362,"Stich-Randall, Teresa",斯蒂琪－蓝道,,1927-2007,美国,声乐,女高音,2017-08-08
3254363,"Stiedry, Fritz",斯提德利,,1883-1968,美国,指挥,奥裔,2017-08-08
3254364,"Stignani, Ebe",斯蒂尼雅尼,,1904-1974,义大利,声乐,次女高音,2017-08-08
3254365,"Stiles-Allen, Lilian",斯提勒斯－艾伦,,1896-1982,英国,声乐,女高音,2017-08-08
3254366,"Still, Robert","斯提尔,罗伯特",,1910-1971,英国,作曲,nan,2017-08-08
3254367,"Still, William Grant","斯提尔,威廉",,1895-1978,美国,作曲,nan,2017-08-08
3254368,"Stock, Frederick",史托克,,1872-1942,美国,作曲；指挥,德裔,2017-08-08
3254369,"Stockhausen, Franz","史托克豪森,弗朗兹",,1789-1868,德国,竖琴；作曲,nan,2017-08-08
3254370,"Stockhausen, Julius","史托克豪森,尤留斯",,1826-1906,德国,声乐,男中音,2018-03-22
3254371,"Stockhausen, Karlheinz","史托克豪森,卡尔海因兹",,1928-2007,德国,作曲,nan,2017-08-08
3254372,"Stockmarr, Johanna",史托蔻玛尔,,1869-1944,丹麦,钢琴,nan,2017-08-08
3254373,"Stoessel, Albert",斯托瑟,,1894-1943,美国,小提琴；指挥；作曲,nan,2017-08-08
3254374,"Stoeving, (Carl Heinrich) Paul",斯托温,,1861-1948,美国,小提琴；作曲,德国裔,2017-08-08
3254375,"Stojowski, Sigismund",史托霍夫斯基,,1870-1946,美国,钢琴；作曲,波裔,2017-08-08
3254376,"Stoker, Richard",斯托克,,1938-,英国,作曲,nan,2017-08-08
3254377,"Stokowski, Leopold",史托科夫斯基,,1882-1977,美国,指挥,波裔,2017-08-08
3254378,"Stolow, Meyer",斯托洛,,1929-,加拿大,小提琴,nan,2017-08-08
3254379,"Stolz, Robert","史托兹,罗伯特",,1880-1975,奥地利,作曲,nan,2017-08-08
3254380,"Stolz, Teresa","史托兹,泰雷莎",,1834-1902,捷克,声乐,女高音,2017-08-08
3254381,"Stolze, Gerhard",史托澈,,1926-1979,德国,声乐,男高音,2017-08-08
3254382,"Stölzel, Gottfried Heinrich",史特澈,,1690-1749,德国,作曲,nan,2017-08-08
3254383,"Storace, Anna","斯托瑞斯,安娜",,1766-1817,英国,作曲,nan,2017-08-08
3254384,"Storace, Stephen","斯托瑞斯,史提芬",,1763-1796,英国,作曲,nan,2017-08-08
3254385,"Stover, Franklin",斯托沃,,1953-,美国,作曲,nan,2017-08-08
3254386,"Stradella, Alessandro",斯特拉德拉,,1639-1682,义大利,作曲,nan,2017-08-08
3254387,"Stradivari, Antonio",斯特拉第瓦利,,1644-1737,义大利,小提琴制作,nan,2017-08-08
3254388,"Straesser, Joep (Joseph Willem Frederik)",史特雷瑟,,1934-2004,荷兰,作曲,nan,2017-08-08
3254389,"Straeten, Edmond van der",史特瑞登,,1826-1895,比利时,音乐学,nan,2017-08-08
3254390,"Strahan, Derek",斯特拉罕,,1935-,马来西亚,作曲,nan,2017-08-08
3254391,"Strang, Gerald",斯特朗,,1908-1983,美国,作曲,nan,2017-08-08
3254392,"Stransky, Josef",斯特朗斯基,,1872-1936,捷克,指挥,nan,2017-08-08
3254393,"Stratas, Teresa",斯特拉塔丝,,1938-,加拿大,声乐,希裔女高音,2017-08-08
3254394,"Strategier, Herman",斯特拉特基尔,,1912-1988,荷兰,作曲,nan,2017-08-08
3254395,"Stratton, George",斯特拉顿,,1897-1954,英国,小提琴,nan,2017-08-08
3254396,"Straube, Karl",史特劳伯,,1873-1950,德国,管风琴；指挥,nan,2017-08-08
3254397,"Straus, Oscar","史特劳斯,奥斯卡",,1870-1954,奥地利,作曲家；指挥,nan,2017-08-08
3254398,"Strauss Jr., Johann(II)","史特劳斯二世,约翰",,1825-1899,奥地利,作曲；指挥；小提琴,nan,2017-08-08
3254399,"Strauss Sr., Johann(I)","史特劳斯一世,约翰",,1804-1849,奥地利,作曲；指挥；小提琴,nan,2017-08-08
3254400,"Strauss, Eduard","史特劳斯,爱德华",,1835-1916,奥地利,作曲；指挥,nan,2017-08-08
3254401,"Strauss, Franz","史特劳斯,弗朗兹",,1822-1905,德国,法国号；作曲,nan,2017-08-08
3254402,"Strauss, Josef","史特劳斯,约瑟夫",,1827-1870,奥地利,作曲,nan,2017-08-08
3254403,"Strauss, Richard","史特劳斯,理查",,1864-1949,德国,作曲；指挥,nan,2017-08-08
3254404,"Stravinsky, Igor","斯特拉温斯基,伊果",,1882-1971,俄国,作曲；指挥；钢琴,nan,2017-08-08
3254405,"Stravinsky, Svyatoslav","斯特拉温斯基,斯维亚托斯拉夫",,1910-1994,俄国,钢琴,nan,2017-08-08
3254406,"Streich, Rita",史特莱希,,1920-1987,德国,声乐,女高音,2017-08-08
3254407,"Strepponi, Giuseppina",斯特利特曼,,1815-1897,义大利,声乐,女高音,2017-08-08
3254408,"Strietman, Willem",斯特利特曼,,1918-2001,荷兰,作曲,nan,2017-08-08
3254409,"Stringfield, Lamar",斯俊费尔德,,1897-1959,美国,作曲；长笛；指挥,nan,2017-08-08
3254410,"Stringham, Edwin John",斯俊汉,,1890-1974,美国,作曲,nan,2017-08-08
3254411,"Strong, George Tembleton",斯壮,,1856-1948,美国,作曲,nan,2017-08-08
3254412,"Strozzi, Barbara",斯特罗济,,1619-1677,义大利,作曲,nan,2017-08-08
3254413,"Strube, Gustav",斯徒路伯,,1867-1953,美国,作曲；小提琴；指挥,德裔,2017-08-08
3254414,"Struempel, Gustav Hanns",斯徒伦佩尔,,1855-1927,俄国,作曲,nan,2017-08-08
3254415,"Strungk, Nicolaus Adam",斯徒伦克,,1640-1700,德国,作曲,nan,2017-08-08
3254416,"Strunk, Richard",斯创克,,1957-,美国,作曲,nan,2017-08-08
3254417,"Stuart, Leslie",斯徒华,,1864-1928,英国,作曲；管风琴,nan,2017-08-08
3254418,"Stuckenschmidt, Hans Heine",史徒肯施密特,,1901-1988,德国,音乐学,nan,2017-08-08
3254419,"Subotnick, Morton",萨伯特尼克,,1933-,美国,作曲；竖琴,nan,2017-08-08
3254420,"Such, Henry",萨奇,,1872-1920,英国,小提琴,nan,2017-08-08
3254421,"Sucher, Josef","苏赫尔,约瑟夫",,1843-1908,匈牙利,指挥；作曲,nan,2017-08-08
3254422,"Sucher, Rosa","苏赫尔,罗莎",,1849-1927,德国,声乐,女高音,2017-08-08
3254423,"Suchon, Eugen",苏雄,,1908-1993,斯洛伐克,作曲,nan,2017-08-08
3254424,"Suckling, Norman Charles",萨克林,,1904-1994,英国,钢琴；作曲,nan,2017-08-08
3254425,"Sugano, Makiko",菅野真贵子,,1967-,日本,女高音,nan,2017-08-08
3254426,"Sugár, Rezsö",苏格,,1919-1988,匈牙利,作曲,nan,2017-08-08
3254427,"Sugawa, Nobuya",须川展也,,1961-,日本,萨克斯风,nan,2017-08-08
3254428,"Suggia, Guilhermina",苏姬亚,,1888-1950,葡萄牙,大提琴,nan,2017-08-08
3254429,"Suk, Josef(I)","苏克一世,约瑟夫",,1874-1935,捷克,小提琴；作曲,nan,2017-08-08
3254430,"Suk, Josef(II)","苏克二世,约瑟夫",,1929-2011,捷克,小提琴；指挥,nan,2017-08-08
3254431,"Šulek, Stjepan",许雷克,,1914-1986,克罗埃西亚,作曲,nan,2017-08-08
3254432,"Sullivan, Arthur",萨利文,,1842-1900,英国,作曲；指挥,nan,2017-08-08
3254433,"Sumsion, Herbert Whitton",桑迅,,1899-1995,英国,管风琴；指挥；作曲,nan,2017-08-08
3254434,"Sunderland, Susan",桑德兰,,1819-1905,英国,声乐,女高音,2017-08-08
3254435,"Supervia, Conchita",苏贝维亚,,1895-1936,西班牙,声乐,次女高音,2017-08-08
3254436,"Suppé, Franz von",苏佩,,1819-1895,奥地利,作曲；指挥,克罗埃西亚裔,2017-08-08
3254437,"Surinach, Carlos",苏里纳奇,,1915-1997,西班牙,作曲；指挥,nan,2017-08-08
3254438,"Susa, Conrad",苏萨,,1935-2013,美国,作曲,nan,2017-08-08
3254439,"Suslin, Victor",苏斯林,,1942-,俄国,作曲,nan,2017-08-08
3254440,"Susman, William",苏斯曼,,1960-,美国,作曲,nan,2017-08-08
3254441,"Susskind, Walter",苏斯金德,,1913-1980,英国,指挥,捷裔,2017-08-08
3254442,"Süssmayr, Franz Xaver",居斯麦耶,,1766-1803,奥地利,作曲,nan,2017-08-08
3254443,"Sutermeister, Heinrich",苏特麦斯特,,1910-1995,瑞士,作曲,nan,2017-08-08
3254444,"Suthaus, Ludwig",祖陶斯,,1906-1971,德国,声乐,男高音,2017-08-08
3254445,"Sutherland, Joan",萨瑟兰,,1926-2010,澳大利亚,声乐,女高音,2017-08-08
3254446,"Suwanai, Akiko",诹访内晶子,,1968-,日本,小提琴,nan,2017-08-08
3254447,"Suzuki, Daisuke",铃木大介,,1970-,日本,吉他,nan,2017-08-08
3254448,"Suzuki, Shinichi",铃木镇一,,1898-1998,日本,音乐教育；提琴制作,nan,2017-08-08
3254449,"Svanholm, Set",史旺宏,,1904-1964,瑞典,声乐,男高音,2017-08-08
3254450,"Svendsen, Johan",史温森,,1840-1911,挪威,小提琴；作曲；指挥,nan,2017-08-08
3254451,"Svetlanov, Yevgeny",斯威特拉诺夫,,1928-2002,俄国,指挥；作曲,nan,2017-08-08
3254452,"Sviridov, Georgi Vasilievich",斯维利朵夫,,1915-1998,俄国,作曲；钢琴,nan,2017-08-08
3254453,"Svoboda, Tomas",史沃伯达,,1939-,美国,作曲,捷裔,2017-08-08
3254454,"Swanson, Howard",斯旺森,,1907-1978,美国,作曲,nan,2017-08-08
3254455,"Swarowsky, Hans",史瓦洛夫斯基,,1899-1975,奥地利,指挥,nan,2017-08-08
3254456,"Swarthout, Gladys",斯华桃特,,1904-1969,美国,声乐,女低音,2017-08-08
3254457,"Swayne, Giles",斯威恩,,1946-,英国,作曲；指挥,nan,2017-08-08
3254458,"Sweelinck, Jan Pieterszoon",史维林克,,1562-1621,荷兰,作曲；管风琴,nan,2017-08-08
3254459,"Swerts, Piet",史威尔兹,,1960-,比利时,作曲,nan,2017-08-08
3254460,"Swet, Jules de",史威特,,1843-1891,比利时,大提琴；作曲,nan,2017-08-08
3254461,"Sygietynski, Antoni",许基廷斯基,,1850-1923,波兰,音乐学,nan,2017-08-08
3254462,"Szabelski, Boleslaw",萨贝尔斯基,,1896-1979,波兰,作曲,nan,2017-08-08
3254463,"Szabo, Ferenc",萨伯,,1902-1969,匈牙利,作曲,nan,2017-08-08
3254464,"Szalowski, Antoni",萨洛夫斯基,,1907-1973,波兰,作曲,nan,2017-08-08
3254465,"Szanto, Theodor",桑托,,1877-1934,匈牙利,钢琴,nan,2017-08-08
3254466,"Sze, Yi-Kwei",斯义桂,,1919-1994,中国,声乐,低男中音,2017-08-08
3254467,"Székely, Endre","塞克宜,安德列",,1912-1989,匈牙利,作曲,nan,2017-08-08
3254468,"Székely, Zoltán","塞克宜,佐坦",,1903-2001,匈牙利,小提琴,nan,2017-08-08
3254469,"Szelenyi, Istvan",塞伦宜,,1904-1972,匈牙利,作曲,nan,2017-08-08
3254470,"Szeligowski, Tadeusz",谢里勾夫斯基,,1896-1963,波兰,作曲；音乐学,nan,2017-08-08
3254471,"Szell, Georg(e)",塞尔,,1897-1970,美国,指挥,匈裔,2017-08-08
3254472,"Szenkar, Eugen",申卡尔,,1891-1977,匈牙利,指挥；作曲,nan,2017-08-08
3254473,"Szervanszky, Endre",谢万斯基,,1911-1977,匈牙利,作曲,nan,2017-08-08
3254474,"Szeryng, Henryk",谢霖,,1918-1988,墨西哥,小提琴,波裔,2017-08-08
3254475,"Szigeti, Joseph",席格悌,,1892-1973,美国,小提琴,匈裔,2017-08-08
3254476,"Szokolay, Sándor",索科莱,,1931-,匈牙利,作曲,nan,2017-08-08
3254477,"Szöllösy, Andŕas",泽洛西,,1921-,匈牙利,作曲；音乐学,nan,2017-08-08
3254478,"Szymanowska, Maria",齐玛诺夫斯卡,,1789-1831,波兰,作曲,nan,2017-08-08
3254479,"Szymanowski, Karol",齐马诺夫斯基,,1882-1937,波兰,作曲,nan,2017-08-08
3254480,"Szzeligowski, Tadeusz",谢里勾夫斯基,,1896-1963,波兰,作曲；音乐学,nan,2017-08-08
3254481,"Sæverud, Harald","社维鲁德,哈拉尔",,1897-1992,挪威,作曲,nan,2017-08-08
3254482,"Sæverud, Tormod","社维鲁德,托尔莫德",,1938-,挪威,作曲,nan,2017-08-08
3254483,"Tabachnik, Michel",塔巴赫尼克,,1942-,瑞士,指挥；作曲,nan,2017-08-08
3254484,"Tabourot, Thoinot (Jehan)",塔布洛,,1519-1595,法国,作曲,nan,2017-08-08
3254485,"Tada, Eiichi",多田荣喔,,1950-,日本,作曲,nan,2017-08-08
3254486,"Taddei, Giuseppe",塔代伊,,1916-2010,义大利,声乐,男中音,2017-08-08
3254487,"Tagliabue, Carlo",塔利亚布埃,,1898-1978,义大利,声乐,男中音,2017-08-08
3254488,"Tagliavini, Ferruccio",塔利亚维尼,,1913-1995,义大利,声乐,男高音,2017-08-08
3254489,"Tahourdin, Peter Richard",塔何丁,,1928-,英国,作曲,nan,2017-08-08
3254490,"Tailleferre, Germaine",戴耶费尔,,1892-1983,法国,作曲,nan,2017-08-08
3254491,"Taira, Yishihisa",平义久,,1938-2006,日本,作曲,nan,2017-08-08
3254492,"Tajcevic, Marko",塔切维克,,1900-1984,克罗埃西亚,作曲,nan,2017-08-08
3254493,"Tajo, Italo",塔友,,1915-1993,义大利,声乐,男低音,2017-08-08
3254494,"Takahashi, Ayuo",高桥鲇生,,1959-,日本,作曲,nan,2017-08-08
3254495,"Takahashi, Yuji",高桥悠治,,1938-,日本,作曲；钢琴,nan,2017-08-08
3254496,"Takemitsu, Toru",武满彻,,1930-1996,日本,作曲,nan,2017-08-08
3254497,"Taktakishvili, Otar",塔克塔基什维利,,1924-1989,俄国,作曲,nan,2017-08-08
3254498,"Tal, Josef",塔尔,,1910-2008,以色列,作曲；钢琴,nan,2017-08-08
3254499,"Talich, Vaclav",塔利希,,1883-1961,捷克,指挥；小提琴,nan,2017-08-08
3254500,"Talley, Marion",塔莉,,1907-1983,美国,声乐,女高音,2017-08-08
3254501,"Tallis, Thomas",塔利斯,,1505-1585,英国,作曲；管风琴,nan,2017-08-08
3254502,"Talma, Louise (Victoria)",塔玛,,1906-1996,法国,作曲,nan,2017-08-08
3254503,"Talman, Jeff",塔曼,,1954-,美国,作曲,nan,2017-08-08
3254504,"Talvela, Martti",塔威拉,,1935-1989,芬兰,声乐,男低音,2017-08-08
3254505,"Talyan, Gousan",塔扬,,1857-1938,亚美尼亚,作曲,nan,2017-08-08
3254506,"Tamagno, Francesco",塔玛纽,,1850-1905,义大利,声乐,男高音,2017-08-08
3254507,"Tamberlik, Enrico",汤贝利克,,1820-1889,义大利,声乐,男高音,2017-08-08
3254508,"Tamburini, Antonio",汤布利尼,,1800-1876,义大利,声乐,男中音,2017-08-08
3254509,"Tan, Dun",谭顿,,1957-,美国,作曲,华裔,2017-08-08
3254510,"Tanaka, Karen","田中,凯伦",,1961-,日本,作曲,nan,2017-08-08
3254511,"Tanaka, Toshimitu",田中利光,,1930-,日本,作曲,nan,2017-08-08
3254512,"Taneyev, Alexander","塔涅耶夫,亚力山大",,1850-1918,俄国,作曲,nan,2017-08-08
3254513,"Taneyev, Sergey","塔捏耶夫,谢尔盖",,1856-1915,俄国,作曲,nan,2017-08-08
3254514,"Tango, Egisto",唐勾,,1856-1951,义大利,指挥,nan,2017-08-08
3254515,"Tanimura, Kojiro",谷村政次郎,,1938-,日本,指挥；管乐史学者,nan,2017-08-08
3254516,"Tansman, Alexender",汤斯曼,,1897-1986,法国,钢琴；作曲,波裔,2017-08-08
3254517,"Tapray, Jean-François",塔布拉,,1737-1819,法国,作曲,nan,2017-08-08
3254518,"Tarmakov, Roussi",塔玛科夫,,1949-,保加利亚,作曲,nan,2017-08-08
3254519,"Tarp, Svend Erik",塔普,,1908-1994,丹麦,作曲,nan,2017-08-08
3254520,"Tárrega, Francisco",达雷加,,1852-1909,西班牙,作曲；吉他,nan,2017-08-08
3254521,"Tartini, Giuseppe",塔悌尼,,1692-1770,义大利,小提琴；作曲,nan,2017-08-08
3254522,"Taskin, Henri Joseph",塔斯康,,1779-1852,法国,作曲；管风琴,nan,2017-08-08
3254523,"Tate, Phyllis",泰特,,1911-1987,英国,作曲,nan,2017-08-08
3254524,"Tattermuschová, Helena",塔特慕丝霍娃,,1933-,捷克,声乐,女高音,2017-08-08
3254525,"Taube, Carlo",道贝,,1897-1944,西班牙,作曲,nan,2017-08-08
3254526,"Tauber, Richard",陶伯,,1892-1948,英国,声乐,奥裔男高音,2017-08-08
3254527,"Taubert, Wilhelm",陶伯特,,1811-1891,德国,作曲；钢琴；指挥,nan,2017-08-08
3254528,"Taubman, Howard",陶布曼,,1907-1996,美国,乐评,nan,2017-08-08
3254529,"Tauriello, Antonio",道里耶悠,,1931-,阿根廷,作曲；指挥,nan,2017-08-08
3254530,"Tausch, Franz",陶许,,1762-1817,德国,作曲,nan,2017-08-08
3254531,"Tausig, Carl",陶吉希,,1841-1871,波兰,钢琴；作曲,nan,2017-08-08
3254532,"Tausky, Vilém",陶斯基,,1910-2004,捷克,指挥；作曲,nan,2017-08-08
3254533,"Tautenhahn, Gunther",陶滕罕,,1938-,立陶宛,作曲,nan,2017-08-08
3254534,"Tavares, Hekel",塔瓦雷斯,,1896-1969,巴西,作曲,nan,2017-08-08
3254535,"Taverner, John",塔维尔纳,,1490-1545,英国,作曲,nan,2017-08-08
3254536,"Taylor, Charles","泰勒,查尔斯",,1911-2014,英国,小提琴,nan,2017-08-08
3254537,"Taylor, Deems","泰勒,狄姆斯",,1885-1966,美国,乐评；作曲,nan,2017-08-08
3254538,"Taylor, Mark R. (Richard Bush)","泰勒,马克",,1961-,英国,作曲,nan,2017-08-08
3254539,"Taylor, Rowan","泰勒,罗旺",,1927-2005,美国,作曲,nan,2017-08-08
3254540,"Tchaikovsky, Boris","柴科夫斯基,玻利斯",,1925-1996,俄国,作曲,nan,2017-08-08
3254541,"Tchaikovsky, Pyotr Il'yich {Tschaikowsky}","柴科夫斯基,彼得",,1840-1893,俄国,作曲,nan,2017-08-08
3254542,"Tchaikowsky, Andre","柴科夫斯基,安德列",,1935-1982,波兰,钢琴；作曲,nan,2017-08-08
3254543,"Tcherepnin, Alexander","齐尔品,亚力山大",,1899-1977,美国,作曲,俄裔,2017-08-08
3254544,"Tcherepnin, Ivan","齐尔品,伊凡",,1943-1998,美国,作曲,俄裔,2017-08-08
3254545,"Tcherepnin, Nikolay(Nikolai)","齐尔品,尼古拉",,1873-1945,俄国,作曲；指挥,nan,2017-08-08
3254546,"Te Kanawa, Kiri",卡娜娃(德‧卡娜娃),,1944-,纽西兰,声乐,女高音,2017-08-08
3254547,"Teague, Allen James",替格,,1970-,美国,作曲,nan,2017-08-08
3254548,"Tebaldi, Renata",泰芭第,,1922-2004,义大利,声乐,女高音,2017-08-08
3254549,"Teichmüller, Robert",泰希缪勒,,1863-1939,德国,钢琴,nan,2017-08-08
3254550,"Tejeda, Eduardo",德黑达,,1923-,阿根廷,作曲,nan,2017-08-08
3254551,"Telemann, Georg Philipp",泰勒曼,,1681-1767,德国,作曲,nan,2017-08-08
3254552,"Tellefsen, Thomas Dyke Acland",泰勒夫森,,1823-1874,挪威,作曲,nan,2017-08-08
3254553,"Telmanyi, Emil",泰曼尼,,1892-1988,匈牙利,小提琴；指挥,nan,2017-08-08
3254554,"Temperley, Nicholas",滕普利,,1932-,美国,音乐学,英裔,2017-08-08
3254555,"Templeton, Alec","滕普顿,艾利克",,1909-1963,美国,钢琴；作曲,英裔,2017-08-08
3254556,"Templeton, John","滕普顿,约翰",,1802-1886,英国（苏格兰）,声乐,男高音,2017-08-08
3254557,"Tennstedt, Klaus",滕斯泰特,,1926-1998,德国,指挥,nan,2017-08-08
3254558,"Tenreiro, Alfonso",田雷洛,,1965-,委内瑞拉,作曲,nan,2017-08-08
3254559,"Ternina, Milka",泰尼娜,,1863-1941,克罗埃西亚,声乐,女高音,2017-08-08
3254560,"Terradellas, Domènec",德拉德雅斯,,1711-1751,西班牙,作曲,nan,2017-08-08
3254561,"Terry, Richard Runciman",泰瑞,,1865-1938,英国,管风琴；音乐学,nan,2017-08-08
3254562,"Terschak, Adolf",泰夏克,,1832-1901,匈牙利,长笛；作曲,nan,2017-08-08
3254563,"Tertis, Lionel",泰悌斯,,1876-1975,英国,中提琴,nan,2017-08-08
3254564,"Terzian, Alicia",德尔希安,,1934-,阿根廷,作曲；指挥,nan,2017-08-08
3254565,"Teschemacher, Margarete",泰舍玛赫,,1903-1959,德国,声乐,女高音,2017-08-08
3254566,"Tessarini, Carlo",泰沙利尼,,1690-1766,义大利,小提琴；作曲,nan,2017-08-08
3254567,"Tessier, Roger",泰歇,,1939-,法国,作曲,nan,2017-08-08
3254568,"Tetrazzini, Eva","泰特拉齐尼,艾娃",,1862-1938,义大利,声乐,女高音,2017-08-08
3254569,"Tetrazzini, Luisa","泰特拉齐尼,露意莎",,1871-1940,义大利,声乐,女高音,2017-08-08
3254570,"Teyte, Maggie",泰特,,1888-1976,英国,声乐,女高音,2017-08-08
3254571,"Thalben-Ball, George",塔本－包尔,,1896-1987,英国,管风琴；作曲,奥裔,2017-08-08
3254572,"Thalberg, Sigismond",塔尔贝尔格,,1812-1871,德国,钢琴；作曲,nan,2017-08-08
3254573,"Thayer, Alexander Wheelock",萨耶尔,,1817-1897,美国,音乐著作,nan,2017-08-08
3254574,"Theaker, Daniel",席克,,1967-,加拿大,作曲,nan,2017-08-08
3254575,"Theodorakis, Mikis",狄奥多拉奇斯,,1925-,希腊,作曲,nan,2017-08-08
3254576,"Thibaud, Jacques",狄博,,1880-1953,法国,小提琴,nan,2017-08-08
3254577,"Thomas, Ambroise",托玛,,1811-1896,法国,作曲,nan,2017-08-08
3254578,"Thomas, Andrew","汤玛斯,安德鲁",,1939-,美国,作曲,nan,2017-08-08
3254579,"Thomas, Arthur Goring","汤玛斯,阿瑟",,1850-1892,英国,作曲,nan,2017-08-08
3254580,"Thomas, Augusta Read","汤玛斯,奥古斯塔",,1964-,美国,作曲,nan,2017-08-08
3254581,"Thomas, Janet Owen","汤玛斯,珍妮特",,1961-2002,英国,作曲,nan,2017-08-08
3254582,"Thomas, Jason",汤玛斯，杰森,,1978-,美国,作曲,nan,2017-08-08
3254583,"Thomas, Jess","汤玛斯,杰斯",,1927-1993,美国,声乐,男高音,2017-08-08
3254584,"Thomas, John","汤玛斯,约翰",,1826-1913,英国,作曲,nan,2017-08-08
3254585,"Thomas, John Charles","汤玛斯,约翰‧查理斯",,1891-1960,美国,声乐,男中音,2017-08-08
3254586,"Thomas, John David","汤玛斯,约翰‧大卫",,1951-,美国,作曲,nan,2017-08-08
3254587,"Thomas, Michael Tilson","汤玛斯,麦可",,1944-,美国,指挥；钢琴,nan,2017-08-08
3254588,"Thomas, Theodore","汤玛斯,狄奥多",,1835-1905,美国,小提琴；指挥,德裔,2017-08-08
3254589,"Thome, Francis",托梅,,1850-1909,法国,作曲,nan,2017-08-08
3254590,"Thompson, Louise",汤普森，露易丝,,1976-,英国,作曲,nan,2017-08-08
3254591,"Thompson, Oscar","汤普森,奥斯卡",,1887-1945,美国,乐评,nan,2017-08-08
3254592,"Thompson, Randall","汤普森,蓝道",,1899-1984,美国,作曲,nan,2017-08-08
3254593,"Thompson, Robert Scott","汤普森,罗伯特",,1959-,美国,作曲,nan,2017-08-08
3254594,"Thomson, Cesar",童颂,,1857-1931,比利时,小提琴,nan,2017-08-08
3254595,"Thomson, Bryden","汤姆森,布莱登",,1928-1991,英国（苏格兰）,指挥,nan,2017-08-08
3254596,"Thomson, César","汤姆森,塞萨",,1857-1931,比利时,小提琴,nan,2017-08-08
3254597,"Thomson, Virgil","汤姆森,维吉尔",,1896-1989,美国,乐评；作曲,nan,2017-08-08
3254598,"Thorborg, Kerstin",托尔伯格,,1896-1970,瑞典,声乐,次女高音,2017-08-08
3254599,"Thuille, Ludwig",屠意勒,,1861-1907,奥地利,作曲,nan,2017-08-08
3254600,"Thurston, Frederick",瑟斯顿,,1901-1953,英国,单簧管,nan,2017-08-08
3254601,"Tibbet, Lawrence",狄贝特,,1896-1960,美国,声乐,男中音,2017-08-08
