ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21388575,Cinnarizine,桂哌𠯤；桂苯苄哌𠯤,Antivertigo preparations,114.09.19,2026-05-11
21388576,Flunarizine,桂氟哌𠯤；桂氟苯苄哌𠯤,Antivertigo preparations,114.09.19,2026-05-11
21388577,5-Hydroxytryptophan,羟色胺酸,Enzymes,114.08.20,2026-05-11
21388578,oxitriptan,羟色胺酸,Enzymes,114.08.20,2026-05-11
21388579,Sapropterin,四氢生物喋呤,Enzymes,114.08.20,2026-05-11
21388580,Tetrahydrobiopterin,四氢生物喋呤,Enzymes,114.08.20,2026-05-11
21388581,Agalsidase Alfa,r半乳糖苷酶α,Enzymes,114.08.20,2026-05-11
21388582,Agalsidase Beta,r半乳糖苷酶β,Enzymes,114.08.20,2026-05-11
21388583,Elosulfase alfa,耶罗硫酸酯酶α,Enzymes,114.08.20,2026-05-11
21388584,Arylsulfatase B,芳香硫酸酯酶B；半乳糖硫酸酯酶,Enzymes,114.08.20,2026-05-11
21388585,Galsulfase,半乳糖硫酸酯酶；芳香硫酸酯酶B,Enzymes,114.08.20,2026-05-11
21388586,Idursulfase,艾杜硫酸酯酶,Enzymes,114.08.20,2026-05-11
21388587,Imiglucerase,依弥葡脑脂酶,Enzymes,114.08.20,2026-05-11
21388588,Laronidase,艾杜醛酸酶,Enzymes,114.09.19,2026-05-11
21388589,Iduronidase,艾杜（糖）醛酸酶,Enzymes,114.8.20,2026-05-11
21388590,Eliglustat,艾利葡脑脂汀；辛醯吡咯二㗁洛,Enzymes,114.08.20,2026-05-11
21388591,Nicotine,尼古丁；烟碱,Drug used in smoke cessation,114.08.14,2026-05-11
21388592,Varenicline,伐尼可净；哌啶苯吡𠯤,Drug used in smoke cessation,114.08.14,2026-05-11
21388593,Clofazimine,氯苯啡𠯤胺,Antimycobacterials,114.08.20,2026-05-11
21388594,Prothionamide,丙吡啶硫醯胺,Antimycobacterials,114.08.20,2026-05-11
21388595,Protionamide,丙吡啶硫醯胺,Antimycobacterials,114.08.20,2026-05-11
21388596,Digoxin Immune Fab,毛地黄苷单抗,Antidotes in Poisoning,114.08.14,2026-05-11
21388597,Idarucizumab,达庇凝拟单抗,Antidotes in Poisoning,114.08.14,2026-05-11
21388598,Methylthioninium Chloride,亚甲蓝；二甲胺啡【金塞】𠯤氯,Antidotes in Poisoning,114.08.14,2026-05-11
21388599,Methylene Blue,亚甲蓝；二甲胺啡【金塞】𠯤氯,Antidotes in Poisoning,114.08.14,2026-05-11
21388600,Naloxone,纳洛酮；丙烯羟吗啡酮,Antidotes in Poisoning,114.08.14,2026-05-11
21388601,Pralidoxime,吡锭甲肟,Antidotes in Poisoning,114.08.14,2026-05-11
21388602,Protamine,鱼精蛋白,Antidotes in Poisoning,114.08.14,2026-05-11
21388603,Benzydamine,苄吲唑胺,Dental preparations,114.08.14,2026-05-11
21388604,Chlorhexidine,氯亚己二胍；亚己氯苯二胍,Dental preparations,114.08.14,2026-05-11
21388605,"Nitroglycerin, glyceryl trinitrate",硝化甘油；三硝酸甘油酯,Antianginal,114.8.18,2026-05-11
21388606,Trinitroglycerol,三硝酸甘油酯；硝化甘油,Antianginal,114.08.18,2026-05-11
21388607,"1,2,3-trinitroxypropane",三硝酸甘油酯；硝化甘油,Antianginal,114.08.18,2026-05-11
21388608,Isosorbide 5-mononitrtate,硝酸山梨二呋酯,Antianginal,114.08.18,2026-05-11
21388609,Isosorbide dinitrate,二硝酸山梨二呋酯,Antianginal,114.08.18,2026-05-11
21388610,Salbutamol,叔丁伸洛；丁伸原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388611,albuterol,叔丁伸洛；丁伸原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388612,Levosalbutamol,l-叔丁伸洛；l-丁伸原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388613,levalbuterol,l-叔丁伸洛；l-丁伸原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388614,Isoproterenol,异丙洛；异丙原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388615,isoprenaline,异丙原肾上腺素；异丙洛,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388616,Terbutaline,叔丁间洛；叔丁间原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388617,Fenoterol,酚丙间洛；酚间原肾上腺素,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.07.14,2026-05-11
21388618,Procaterol,护气管洛；丙喹啉酮乙洛,Respiratory tract drugs: Short-acting β2 agonists (SABAs),114.09.19,2026-05-11
21388619,Bambuterol,丁间胺甲醯洛；丁间胺醯原肾上腺素,Respiratory tract drugs: Long-acting β2 agonists (LABAs),114.07.14,2026-05-11
21388620,Formoterol,福茂气管洛；甲醚苯丙甲醯胺洛,Respiratory tract drugs: Long-acting β2 agonists (LABAs),114.09.19,2026-05-11
21388621,Salmeterol,洒美气管洛；苯丁醚戊伸洛,Respiratory tract drugs: Long-acting β2 agonists (LABAs),114.09.19,2026-05-11
21388622,Salmeterol Xinafoate,洒美气管洛萘甲酸盐；苯丁醚戊伸洛苯（并）柳酸盐,Respiratory tract drugs: Long-acting β2 agonists (LABAs),114.9.19,2026-05-11
21388623,Olodaterol,奥达气管洛；㗁𠯤酮洛,Respiratory tract drugs: Ultra-long-acting β2 agonists (Ultra LABAs),114.09.19,2026-05-11
21388624,Vilanterol,维气管洛；二氯苄醚伸洛,Respiratory tract drugs: Ultra-long-acting β2 agonists (Ultra LABAs),114.09.19,2026-05-11
21388625,Vilanterol Trifenatate,维气管洛三苯乙酸盐；二氯苄醚伸洛三苯乙酸盐,Respiratory tract drugs: Ultra-long-acting β2 agonists (Ultra LABAs),114.09.19,2026-05-11
21388626,Indacaterol,荫达气管洛；茚喹啉酮洛,Respiratory tract drugs: Ultra-long-acting β2 agonists (Ultra LABAs),114.09.19,2026-05-11
21388627,Ephedrine,麻黄碱,Respiratory tract drugs: α- and β-adrenoreceptor agonists,114.07.14,2026-05-11
21388628,Pseudoephedrine,拟麻黄碱,Respiratory tract drugs: α- and β-adrenoreceptor agonists,114.07.14,2026-05-11
21388629,Phenylephrine,去对羟肾上腺素,Respiratory tract drugs: α- and β-adrenoreceptor agonists,114.07.14,2026-05-11
21388630,Tiotropium bromide,噻吩甲莨菪鐱溴盐,Respiratory tract drugs: Anticholinergic agents,114.09.19,2026-05-11
21388631,Umeclidinium bromide,乌弭【口昆】锭溴盐；偕苯苄醚乙【口昆】锭溴盐,Respiratory tract drugs: Anticholinergic agents,114.07.14,2026-05-11
21388632,Cromoglicic acid,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,114.07.14,2026-05-11
21388633,cromolyn,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,114.07.14,2026-05-11
21388634,cromoglycate,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,114.07.14,2026-05-11
21388635,cromoglicate,色甘酸；甘油醚色酮酸,Respiratory tract drugs: Mast cell stabilizer,114.07.14,2026-05-11
21388636,Nedocromil,吡啶色酮酸；吡喃喹啉酮酸,Respiratory tract drugs: Mast cell stabilizer,114.09.19,2026-05-11
21388637,Dextromethorphan,d-甲氧吗啡烷,Respiratory tract drugs: Antitussive agents,114.07.14,2026-05-11
21388638,Noscapine,甲氧北美黄连碱,Respiratory tract drugs: Antitussive agents,114.07.14,2026-05-11
21388639,Benzonatate,丁胺苯甲酸𡈼乙二酯,Respiratory tract drugs: Antitussive agents,114.07.14,2026-05-11
21388640,Ambroxol,胺溴醇；溴苯苄胺环己醇,Respiratory tract drugs: Mucolytic agents,114.10.20,2026-05-11
21388641,Bromhexine,溴苄环己胺；溴环己胺苯胺,Respiratory tract drugs: Mucolytic agents,114.07.14,2026-05-11
21388642,Mesna,硫乙磺酸钠,Respiratory tract drugs: Mucolytic agents,114.07.14,2026-05-11
21388643,Acetylcysteine,乙醯半胱胺酸,Respiratory tract drugs: Mucolytic agents,114.07.14,2026-05-11
21388644,Erdosteine,优化速停；噻酮胺醯硫乙酸,Respiratory tract drugs: Mucolytic agents,114.07.14,2026-05-11
21388645,Mepolizumab,美泊喘嵌单抗,Respiratory tract drugs: Monoclonal antibodies,114.07.14,2026-05-11
21388646,Omalizumab,奥弭喘嵌单抗,Respiratory tract drugs: Monoclonal antibodies,114.07.14,2026-05-11
21388647,Pirfenidone,苯吡啶酮,Respiratory tract drugs: Others,114.07.14,2026-05-11
21388648,Ferrous Citrate,亚铁柠檬酸盐,Hematological agents: Agents used to treat deficiency anemia,114.10.20,2026-05-11
21388649,Ferric Hydroxide Polymaltose Complex,铁配麦糖；配多麦糖氢氧化铁,Hematological agents: Agents used to treat deficiency anemia,114.10.20,2026-05-11
21388650,Ferric Hydroxide Sucrose,铁配蔗糖；配蔗糖氢氧化铁,Hematological agents: Agents used to treat deficiency anemia,114.10.20,2026-05-11
21388651,Hydroxocobalamin,羟钴胺,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388652,Cyanocobalamin,氰钴胺,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388653,Methylcobalamin,甲钴胺,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388654,Mecobalamin,甲钴胺,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388655,Folic acid,叶酸,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388656,Folinic acid,甲醯叶酸,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388657,Leucovorin,甲醯叶酸,Hematological agents: Agents used to treat deficiency anemia,114.07.21,2026-05-11
21388658,Albumin human,人白蛋白,Hematological agents: Blood components and blood substituents,114.07.21,2026-05-11
21388659,Dextran,聚葡糖；分支聚葡6糖,Hematological agents: Blood components and blood substituents,114.07.21,2026-05-11
21388660,Hydroxyethyl starch,羟乙淀粉,Hematological agents: Blood components and blood substituents,114.07.21,2026-05-11
21388661,Human hemin,人血红素；人氯化血红素,Hematological agents: Blood components and blood substituents,114.09.19,2026-05-11
21388662,Phytonadione,维生素K1；二萜萘醌,Hematological agents: Hemostatics,114.07.21,2026-05-11
21388663,Phytomenadione,维生素K1；二萜萘醌,Hematological agents: Hemostatics,114.07.21,2026-05-11
21388664,Phylloquinone,维生素K1；二萜萘醌,Hematological agents: Hemostatics,114.07.21,2026-05-11
21388665,Menadione,维生素K3；甲萘醌,Hematological agents: Hemostatics,114.09.19,2026-05-11
21388666,Tranexamic Acid,反环己胺酸；反胺甲环己甲酸,Hematological agents: Hemostatics,114.09.19,2026-05-11
21388667,Erythropoietin (EPO),红血球增生素；红血球生成素,Hematological agents: Hematopoietic agents,114.7.23,2026-05-11
21388668,Erythropoetin (EPO),红血球增生素；红血球生成素,Hematological agents: Hematopoietic agents,114.7.23,2026-05-11
21388669,Epoetin,红血球增生素；红血球生成素,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388670,Haematopoietin,红血球增生素；红血球生成素,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388671,Haemopoietin,红血球增生素；红血球生成素,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388672,Darbepoetin Alfa,达倍红血球增生素α；达倍红血球生成素α,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388673,Methoxy Polyethylene Glycol-Epoetin Beta,红血球增生素β^聚乙二醇；红血球生成素β^聚乙二醇,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388674,Filgrastim,斐白血球增生素,Hematological agents: Hematopoietic agents,114.07.23,2026-05-11
21388675,Lenograstim,莱诺白血球增生素,Hematological agents: Hematopoietic agents,114.07.21,2026-05-11
21388676,Pegfilgrastim,斐白血球增生素^聚乙二醇,Hematological agents: Hematopoietic agents,114.07.21,2026-05-11
21388677,Plerixafor,双四氮环卯甲苯,Hematological agents: Hematopoietic agents,114.07.21,2026-05-11
21388678,Eltrombopag,吡唑血小板促增素；羧联苯腙吡唑酮,Hematological agents: Hematopoietic agents,114.07.21,2026-05-11
21388679,Romiplostim,r融合血小板促增素,Hematological agents: Hematopoietic agents,114.07.21,2026-05-11
21388680,"Antihemophilic Factor Human (Factor VIII, AHF)",第八凝血因子,Hematological agents: Agents used in hemophilia,114.7.21,2026-05-11
21388681,Moroctocog alfa,r第八凝血因子α,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388682,Coagulation factor IX,第九凝血因子,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388683,Christmas factor,第九凝血因子,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388684,Eftrenonacog alfa,r融合第九凝血因子α,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388685,Nonacog gamma,r第九凝血因子γ,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388686,Coagulation factor VII,第七凝血因子,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388687,Proconvertin,第七凝血因子,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388688,Eptacog Alfa,r第七凝血因子α,Hematological agents: Agents used in hemophilia,114.07.21,2026-05-11
21388689,von Willebrand factor (vWF),冯威里氏因子；类血友病因子,Hematological agents: Agents used in hemophilia,114.09.19,2026-05-11
21388690,Roxadustat,柔抑肾贫血；异喹啉抑肾贫血,Hematological agents: Hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs),114.09.19,2026-05-11
21388691,Vadadustat,伐达抑肾贫血；吡啶抑肾贫血,Hematological agents: Hypoxia-inducible factor prolyl hydroxylase inhibitors (HIF-PHIs),114.07.16,2026-05-11
21388692,Anagrelide,氯喹唑啉咪唑酮,<p>Antineoplastic agents</p>,115.05.12,2026-05-20
21388693,Eculizumab,依治补体拟单抗,Hematological agents: Others,114.07.16,2026-05-11
21388694,Luspatercept,融活素截贫血,Hematological agents: Others,114.07.16,2026-05-11
21388695,Flavoxate,黄酮酸哌啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,114.07.16,2026-05-11
21388696,Oxybutynin,羟胺丁炔酯,Urologic Agents: Drugs for urinary frequency and incontinence,114.09.19,2026-05-11
21388697,Tolterodine,甲酚苯丙胺,Urologic Agents: Drugs for urinary frequency and incontinence,114.09.19,2026-05-11
21388698,Propiverine,丙哌维淋；丙醚苯杏酸哌啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,114.09.19,2026-05-11
21388699,Solifenacin,锁利纷纳欣；异喹甲酸𪡓啶酯,Urologic Agents: Drugs for urinary frequency and incontinence,114.07.16,2026-05-11
21388700,Trospium chloride,颠茄哌铬氯盐；哌咯拟颠茄鐱氯盐,Urologic Agents: Drugs for urinary frequency and incontinence,114.07.16,2026-05-11
21388701,Mirabegron,噻唑醯胺洛,Urologic Agents: Drugs for urinary frequency and incontinence,114.07.16,2026-05-11
21388702,Silodosin,淅落欣；儿茶醚吲哚洛,Urologic Agents: Drugs used in benign prostatic hypertrophy,114.07.16,2026-05-11
21388703,Avanafil,奥泛纳啡；苯吡咯二嘧啶,Urologic Agents: Drugs for erectile dysfunction [Phosphodiesterase inhibitors：PDE5 inhibitors],114.09.19,2026-05-11
21388704,Bethanechol,β-甲胆碱胺酯,Urologic Agents: Others,114.07.16,2026-05-11
21388705,Phenazopyridine,苯偶氮吡啶,Urologic Agents: Others,114.07.16,2026-05-11
21388706,Pentosan polysulfate,聚戊糖硫酸酯钠盐,Urologic Agents: Others,114.07.16,2026-05-11
21388707,Tiopronin,硫代丙甘肽,Urologic Agents: Others,114.07.16,2026-05-11
21388708,Norepinephrine,原肾上腺素,<p>Cardiac stimulants: Adrenergic and dopaminergic agents</p>,115.05.12,2026-05-20
21388709,noradrenaline,原肾上腺素,<p>Cardiac stimulants: Adrenergic and dopaminergic agents</p>,115.05.12,2026-05-20
21388710,Alanyl Glutamine,丙麸醯二肽,"Nutritional agents, electrolytic, and water balance",114.10.20,2026-05-11
21388711,Alfacalcidol,钙二醇；羟维生素D3,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388712,1-hydroxycholecalciferol,羟维生素D3；钙二醇,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388713,Calcitriol,钙三醇；二羟维生素D3,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388714,"1,25-dihydroxycholecalciferol",二羟维生素D3；钙三醇,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388715,Ascorbic qcid,抗坏血酸；维生素C,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388716,Calcium polystyrene sulfonate,聚苯乙烯磺酸钙盐,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388717,Levocarnitine,l-肉碱,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388718,Citrulline,瓜胺酸,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388719,Lanthanum carbonate,镧碳酸盐,"Nutritional agents, electrolytic, and water balance",114.10.20,2026-05-11
21388720,Pyridoxal Phosphate,吡哆醛膦酸酯,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388721,Pyridoxine,吡哆醇；维生素B6,"Nutritional agents, electrolytic, and water balance",114.10.20,2026-05-11
21388722,Sodium phenylbutyrate,苯丁酸钠,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388723,Thiamine,硫胺；维生素B1；噻锉嘧啶胺,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388724,Thiamine tetrahydrofurfuryl disulfide,呋硫裂硫胺；呋硫裂噻锉胺,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388725,Fursultiamine,呋硫裂硫胺；呋硫裂噻锉胺,"Nutritional agents, electrolytic, and water balance",114.08.18,2026-05-11
21388726,Riluzole,瑞氟苯噻唑,Drug used in amyotrophic lateral sclerosis,114.08.18,2026-05-11
21388727,Tetrabenazine,四氢喹【口巾】酮；氢苯喹啉酮,Drug used in hyperkinetic movement disorders,114.08.18,2026-05-11
21388728,Dopamine,多巴胺；酚酪胺,Drugs used to treat circulatory failure,114.10.20,2026-05-11
21388729,Dobutamine,丁酚多巴胺；丁酚酪胺,Drugs used to treat circulatory failure,114.10.20,2026-05-11
21388730,Antazoline,二苯抗组胺；二苯拟组胺,"Ear, Nose, and Throat (ENT) Preparations",114.08.14,2026-05-11
21388731,Naphazoline,萘甲咪唑,"Ear, Nose, and Throat (ENT) Preparations",114.08.14,2026-05-11
21388732,Oxymetazoline,羟甲苄咪唑,"Ear, Nose, and Throat (ENT) Preparations",114.8.14,2026-05-11
21388733,Tetryzoline,四氢萘咪唑,"Ear, Nose, and Throat (ENT) Preparations",114.08.14,2026-05-11
21388734,Tetrahydrozoline,四氢萘咪唑,"Ear, Nose, and Throat (ENT) Preparations",114.08.14,2026-05-11
21388735,Ivabradine,艾芙徐脉呯,Cardiac therapy: Other cardiac preparations,114.10.20,2026-05-11
21388736,Ubidecarenone,泛醌；辅酶Q10,Cardiac therapy: Other cardiac preparations,114.08.18,2026-05-11
21388737,ubiquinone,泛醌；辅酶Q10,Cardiac therapy: Other cardiac preparations,114.08.18,2026-05-11
21388738,coenzyme Q10,辅酶Q10；泛醌,Cardiac therapy: Other cardiac preparations,114.08.18,2026-05-11
21388739,Midodrine,胺醯甲氧洛；甲氧洛甘肽,Antihypotensives,114.10.20,2026-05-11
21388740,Dicyclomine,二环酯胺；二环己甲酯胺,Gastrointestinal Agents: Antispasmodics,114.10.20,2026-05-11
21388741,Dicycloverine,二环酯胺；二环己甲酯胺,Gastrointestinal Agents: Antispasmodics,114.10.20,2026-05-11
21388742,Mebeverine,美倍维宁；儿茶酯丁他命,Gastrointestinal Agents: Antispasmodics,114.10.20,2026-05-11
21388743,Flopropione,丙醯间三酚；丙醯间苯三酚,Gastrointestinal Agents: Antispasmodics,114.10.20,2026-05-11
21388744,Dioctahedral Smectite,双膨润石,Gastrointestinal Agents: Antidiarrheals,114.08.18,2026-05-11
21388745,Diosmectite,双膨润石,Gastrointestinal Agents: Antidiarrheals,114.08.18,2026-05-11
21388746,Loperamide,氯哌啶醯胺,Gastrointestinal Agents: Antidiarrheals,114.08.18,2026-05-11
21388747,Racecadotril,前硫苯丁甘醯胺；醯硫苯丁甘酯,Gastrointestinal Agents: Antidiarrheals,114.10.20,2026-05-11
21388748,Sterculia,刺梧桐胶,Gastrointestinal Agents: Laxatives,114.08.18,2026-05-11
21388749,Gum karaya,刺梧桐胶,Gastrointestinal Agents: Laxatives,114.08.18,2026-05-11
21388750,Policresulen,聚甲酚磺酸,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,114.08.18,2026-05-11
21388751,Cinchocaine,喹啉柯碱；喹啉卡因,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,114.08.18,2026-05-11
21388752,Dibucaine,喹啉柯碱；喹啉卡因,Gastrointestinal Agents: Agents Used to Treat Hemorrhoid,114.08.18,2026-05-11
21388753,Cevimeline,协维美霖；㗁噻吩𪡓啶,Gastrointestinal Agents: Others,114.08.18,2026-05-11
21388754,Mesalamine,间水杨酸胺,Gastrointestinal Agents: Others,114.10.20,2026-05-11
21388755,Mesalazine,间胺柳酸；间胺水杨酸,<p>Disease-modifying antirheumatic drugs (DMARDs)</p>,115.05.12,2026-05-20
21388756,Simethicone,聚甲矽醚-矽胶,<p>Gastrointestinal Agents: Others</p>,114.11.17,2026-05-13
21388757,Simeticone,聚甲矽醚-矽胶,<p>Gastrointestinal Agents: Others</p>,114.11.17,2026-05-13
21388758,Ursodiol,去氧熊胆酸；去氧表胆酸,Gastrointestinal Agents: Others,114.08.18,2026-05-11
21388759,Ursodeoxycholic Acid,去氧熊胆酸；去氧表胆酸,Gastrointestinal Agents: Others,114.08.18,2026-05-11
21388760,D-Mannitol,甘露醇,Antihypertensives: Diuretics,114.08.20,2026-05-11
21388761,Glycerin,甘油；丙三醇,Antihypertensives: Diuretics,114.08.20,2026-05-11
21388762,Glycerol,丙三醇；甘油,Antihypertensives: Diuretics,114.08.20,2026-05-11
21388763,Riociguat,瑞增环膦鸟苷；嘧啶氮吲唑,Antihypertensives: Drugs used to treat pulmonary arterial hypertension,114.10.20,2026-05-11
21388764,Sacubitril,洒愈避猝； 联苯琥珀醯胺酯,Antihypertensives: Others,114.08.20,2026-05-11
21388765,Elbasvir,扼拔肝韦尔；吡咯咪肝韦尔,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,114.08.18,2026-05-11
21388766,Grazoprevir,革拉肝韦尔；喹㗁啉肝韦尔,Antivirals：Protease inhibitors,114.08.18,2026-05-11
21388767,Cobicistat,卡闭抑胞素；噻唑𠰌抑胞素,Antivirals：Others,114.08.18,2026-05-11
21388768,Basiliximab,帕抑斥嵌单抗,Immunomodulators,114.08.20,2026-05-11
21388769,Mycophenolic acid,霉酚酸,Immunomodulators,114.08.20,2026-05-11
21388770,Mycophenolate mofetil,霉酚酸𠰌啉乙酯,Immunomodulators,114.08.20,2026-05-11
21388771,Canakinumab,能抑介白单抗,Immunomodulators,114.08.20,2026-05-11
21388772,Certolizumab pegol,确脱熄拟单抗^聚乙二醇,Immunomodulators,114.08.20,2026-05-11
21388773,Glatiramer acetate,聚麸离丙酪肽乙酸盐,Immunomodulators,114.08.20,2026-05-11
21388774,Infliximab,抑炎嵌单抗,Immunomodulators,114.08.20,2026-05-11
21388775,Ustekinumab,优抑介白单抗,Immunomodulators,114.08.20,2026-05-11
21388776,Vedolizumab,维多熄拟单抗,Immunomodulators,114.10.20,2026-05-11
21388777,Fingolimod,类神经胺醇,Drugs used in multiple sclerosis: Immunosuppressants,114.08.20,2026-05-11
21388778,Natalizumab,纳拮整合拟单抗,Drugs used in multiple sclerosis: Immunosuppressants,114.08.20,2026-05-11
21388779,Interferon Beta-1a,干扰素β-1a,Drugs used in multiple sclerosis: Immunostimulants,114.08.20,2026-05-11
21388780,Cilastatin,司勒菌汀；环丙醯庚半胱胺酸,Antibiotics: Others,114.10.20,2026-05-11
21388781,Acitretin,甲氧拟视网酸,Dermatological Preparations,114.08.14,2026-05-11
21388782,Calcipotriol,钙环三醇,Dermatological Preparations,114.08.14,2026-05-11
21388783,Calcipotriene,钙环三醇,Dermatological Preparations,114.08.14,2026-05-11
21388784,Tazarotene,硫苯炔啶酯；硫𠳭烯炔烟碱酯,Dermatological Preparations,114.08.14,2026-05-11
21388785,Methoxsalen,甲氧补骨脂素,<p>Antipsoriatics</p>,115.05.12,2026-05-20
21388786,Xanthotoxin,甲氧补骨脂素,<p>Antipsoriatics</p>,115.05.12,2026-05-20
21388787,8-methoxypsoralen,甲氧补骨脂素；甲氧呋香豆素,<p>Antipsoriatics</p>,115.05.12,2026-05-20
21388788,Ixekizumab,艾抑介白拟单抗,Dermatological Preparations,114.08.14,2026-05-11
21388789,Secukinumab,卸介白单抗,Dermatological Preparations,114.08.14,2026-05-11
21388790,Adapalene,金刚苯萘酸,Dermatological Preparations,114.08.14,2026-05-11
21388791,Azelaic Acid,𡈼二酸；杜鹃花酸,Dermatological Preparations,114.08.14,2026-05-11
21388792,Benzoyl Peroxide,过氧苯甲醯;过氧苄醯,Dermatological Preparations,114.8.14,2026-05-11
21388793,Isotretinoin,异视网酸,Dermatological Preparations,114.08.14,2026-05-11
21388794,Benzyl Benzoate,苯甲酸苄酯；安息酸苄酯,Dermatological Preparations,114.08.14,2026-05-11
21388795,Crotamiton,巴豆醯苯胺；甲苯巴豆醯胺,Dermatological Preparations,114.10.20,2026-05-11
21388796,Dimethyl Sulfoxide,二甲亚砜,Dermatological Preparations,114.08.14,2026-05-11
21388797,Hydroquinone,氢醌；对苯二酚,Dermatological Preparations,114.08.14,2026-05-11
21388798,Imiquimod,咪唑喹啉胺,Dermatological Preparations,114.08.14,2026-05-11
21388799,Prilocaine,丙甲苯柯碱；丙甲苯卡因,Dermatological Preparations,114.08.14,2026-05-11
21388800,Gentian Violet,龙胆紫；结晶紫,Dermatological Preparations,114.08.14,2026-05-11
21388801,Crystal Violet,结晶紫；龙胆紫,Dermatological Preparations,114.08.14,2026-05-11
21388802,Povidone-Iodine,普维酮碘；聚乙烯吡咯啶酮错碘,Dermatological Preparations,114.08.14,2026-05-11
21388803,Silver Sulfadiazine,磺胺嘧啶银,Dermatological Preparations,114.08.14,2026-05-11
21388804,Pyridostigmine,吡锭扁豆碱,Drugs used in myasthenia gravis,114.08.18,2026-05-11
21388805,Aflibercept,艾释截脉,Ophthalmic Preparations,114.08.14,2026-05-11
21388806,Hydroxypropyl Methylcellulose,羟丙甲醚纤维素,Ophthalmic Preparations,114.08.14,2026-05-11
21388807,Hypromellose,羟丙甲醚纤维素,Ophthalmic Preparations,114.08.14,2026-05-11
21388808,Pirenoxine,羧吡啡㗁𠯤；啡㗁𠯤吡酸,Ophthalmic Preparations,114.08.14,2026-05-11
21388809,Proparacaine,丙氧异新柯碱；对丙氧卡因,Ophthalmic Preparations,114.08.14,2026-05-11
21388810,Proxymetacaine,丙氧异新柯碱；对丙氧卡因,Ophthalmic Preparations,114.8.14,2026-05-11
21388811,Ranibizumab,瑞霓截脉拟单抗,Ophthalmic Preparations,114.08.14,2026-05-11
21388812,Verteporfin,紫质截脉,Ophthalmic Preparations,114.08.14,2026-05-11
21388813,Tropicamide,颠茄醯胺；颠茄吡啶醯胺,Ophthalmic Preparations,114.08.14,2026-05-11
