ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3543979,job order costing,分批成本法,,分批成本法,2018-06-26
3543980,job-cost record,批次成本记录,,nan,2018-06-26
3543981,job-cost sheet,分批成本报告单,,nan,2018-06-26
3543982,job-costing system,分批成本制,,nan,2018-06-26
3543983,joint arrangement,联合协议,,nan,2018-06-26
3543984,joint asset,联合资产,,nan,2018-06-26
3543985,joint control,联合控制,,nan,2018-06-26
3543986,joint cost,联合成本,,联合成本,2018-06-26
3543987,joint operation,联合营运,,nan,2018-06-26
3543988,joint operator,联合营运者,,nan,2018-06-26
3543989,joint product,联产品,,联产品,2018-06-26
3543990,joint venture[s],合资,,nan,2018-06-26
3543991,joint venturer,合资者,,nan,2018-06-26
3543992,joint working group,联合工作小组,,nan,2018-06-26
3543993,jointly and severally liable,负有共同及个别责任,,nan,2018-06-26
3543994,jointly controlled entity,联合控制个体；联合控制企业,,nan,2018-06-26
3543995,jointly controlled entity,联合控制个体,,nan,2018-06-26
3543996,Jones model,Jones模型,,琼斯模型,2018-06-26
3543997,journal,日记簿；日记帐,,日记账,2018-06-26
3543998,judgmental misstatements,判断性不实表达,,nan,2018-06-26
3543999,junk bond,垃圾债券,,垃圾债券,2018-06-26
3544000,just-in-time {=JIT} production,及时生产,,nan,2018-06-26
3544001,just-in-time {=JIT} purchasing,及时采购,,nan,2018-06-26
3544002,just-in-time system,及时系统,,适时制,2018-06-26
3544003,Kaizen budgeting,Kaizen预算制度,,nan,2018-06-26
3544004,key controls,关键控制,,nan,2018-06-26
3544005,key performance indicators,关键绩效指标,,nan,2018-06-26
3544006,kiting,腾挪,,nan,2018-06-26
3544007,known misstatements,已知误述；已知不实表达,,nan,2018-06-26
3544008,labor-time sheet,计时单,,nan,2018-06-26
3544009,lapping of accounts receivable,应收帐款延压入帐,,nan,2018-06-26
3544010,"last-in, first-out {=LIFO}",后进先出法,,后进先出法,2018-06-26
3544011,layer component,层级组成部分,,nan,2018-06-26
3544012,lead schedule,引导表,,nan,2018-06-26
3544013,lean accounting,精益会计,,nan,2018-06-26
3544014,lean production,精简生产,,nan,2018-06-26
3544015,learning,学习,,nan,2018-06-26
3544016,learning curve,学习曲线,,nan,2018-06-26
3544017,lease term,租赁期间,,nan,2018-06-26
3544018,lease[s],租赁,,nan,2018-06-26
3544019,leaseback,售后租回,,nan,2018-06-26
3544020,leased assets,租赁资产,,nan,2018-06-26
3544021,leasehold interest,租赁权利,,nan,2018-06-26
3544022,leasing,租赁,,租赁,2018-06-26
3544023,ledger,分类帐,,分类账簿,2018-06-26
3544024,legal entity,法律个体；法律企业,,nan,2018-06-26
3544025,legal liability,法律责任,,nan,2018-06-26
3544026,legal merger,法律形式合并,,nan,2018-06-26
3544027,legal obligation,法定义务,,nan,2018-06-26
3544028,legal parent,法律形式母公司,,nan,2018-06-26
3544029,legal release,合法解除,,nan,2018-06-26
3544030,legal right of set-off,法定抵销权,,nan,2018-06-26
3544031,legal rights,法定权利,,nan,2018-06-26
3544032,legal subsidiary,法律形式子公司,,nan,2018-06-26
3544033,legally enforceable right,法定强制权,,nan,2018-06-26
3544034,lender,债权人,,nan,2018-06-26
3544035,lessee,承租人,,nan,2018-06-26
3544036,lessee's incremental borrowing rate of interest,承租人增额借款利率,,nan,2018-06-26
3544037,lessor,出租人,,nan,2018-06-26
3544038,letter of representation,客户声明书,,nan,2018-06-26
3544039,letters of credit,信用状,,nan,2018-06-26
3544040,level 1 inputs,第1等级输入值,,nan,2018-06-26
3544041,level 2 inputs,第2等级输入值,,nan,2018-06-26
3544042,level 3 inputs,第3等级输入值,,nan,2018-06-26
3544043,level of serviceability,服务能力之水准,,nan,2018-06-26
3544044,leveraged buy-out {=LBO},融资买进,,杠杆收购,2018-06-26
3544045,leveraged written option,杠杆发行选择权,,nan,2018-06-26
3544046,levies,公课,,nan,2018-06-26
3544047,liabilities,负债,,负债,2018-06-26
3544048,liability adequacy test,负债适足性测试,,nan,2018-06-26
3544049,liability component,负债组成部分,,nan,2018-06-26
3544050,licence fee,授权费；执照费,,nan,2018-06-26
3544051,licensing agreement,授权协议,,nan,2018-06-26
3544052,life-contingent annuity,生存年金保险,,nan,2018-06-26
3544053,life-cycle budgeting,生命周期预算法,,nan,2018-06-26
3544054,life-cycle costing,生命周期成本法,,nan,2018-06-26
3544055,life-of-mine ratio,矿场年限比,,nan,2018-06-26
3544056,likely misstatements,可能的误述；可能的不实表达,,nan,2018-06-26
3544057,line item,单行项目,,nan,2018-06-26
3544058,line management,直接管理,,nan,2018-06-26
3544059,line of business,营业项目,,nan,2018-06-26
3544060,linear cost function,线性成本函数,,nan,2018-06-26
3544061,linear programming {=LP},线性规划,,nan,2018-06-26
3544062,liquid assets,速动资产,,nan,2018-06-26
3544063,liquidation value,清算价值,,清算价值,2018-06-26
3544064,liquidity,流动性,,nan,2018-06-26
3544065,liquidity presentation format,流动性表达,,nan,2018-06-26
3544066,liquidity risk,流动性风险,,nan,2018-06-26
3544067,litigation risk,诉讼风险,,nan,2018-06-26
3544068,loan asset,放款资产,,nan,2018-06-26
3544069,loan commitment,放款承诺,,nan,2018-06-26
3544070,loan sub-participation,放款次参贷,,nan,2018-06-26
3544071,loans and receivables,放款及应收款,,nan,2018-06-26
3544072,loans payable,应付借款,,nan,2018-06-26
3544073,loans payable in default,违约应付借款,,nan,2018-06-26
3544074,locked-in costs,锁定成本,,nan,2018-06-26
3544075,long-term employee benefits,长期员工福利,,nan,2018-06-26
3544076,long-term equity investment,长期股权投资,,长期股权投资,2018-06-26
3544077,long-term investment,长期投资,,nan,2018-06-26
3544078,long-term liabilities,长期负债,,长期负债,2018-06-26
3544079,long-term loan,长期借款,,长期借款,2018-06-26
3544080,long-term payables,长期应付款,,长期应付款,2018-06-26
3544081,long-term prepaid expense,长期预付费用,,长期待摊费用,2018-06-26
3544082,long-term receivable,长期应收款,,长期应收款,2018-06-26
3544083,losing control,丧失控制,,nan,2018-06-26
3544084,loss event,损失事件,,nan,2018-06-26
3544085,loss of control,丧失控制,,nan,2018-06-26
3544086,loss per share,每股损失,,nan,2018-06-26
3544087,loss recognition test,损失认列测试,,nan,2018-06-26
3544088,losses,损失,,损失,2018-06-26
3544089,low-balling,低价揽客,,低价揽客,2018-06-26
3544090,lower level parent,较低层级母公司,,nan,2018-06-26
3544091,macro hedging,总体避险,,nan,2018-06-26
3544092,main product,主产品,,nan,2018-06-26
3544093,major inspection or overhaul costs,重大检修成本,,nan,2018-06-26
3544094,majority interest,多数股权；多数权益,,nan,2018-06-26
3544095,make-or-buy decisions,自制或外购决策,,nan,2018-06-26
3544096,managed on a contractual yield basis,按合约殖利率基础管理,,nan,2018-06-26
3544097,management accounting,管理会计,,管理会计,2018-06-26
3544098,management approach,管理法{与部门别资讯报导相关},,nan,2018-06-26
3544099,management assertion,管理阶层声明,,管理层认定,2018-06-26
3544100,management bias,管理阶层偏颇,,nan,2018-06-26
3544101,management buyout {=MBO},管理阶层收购,,管理层收购,2018-06-26
3544102,management by exception,例外管理,,nan,2018-06-26
3544103,management commentary,管理报告,,nan,2018-06-26
3544104,management control,管理控制,,管理控制,2018-06-26
3544105,management control system,管理控制系统,,nan,2018-06-26
3544106,management fraud,管理阶层舞弊,,nan,2018-06-26
3544107,management letter,致管理阶层函,,管理建议书,2018-06-26
3544108,management override,管理阶层逾越,,管理层凌驾,2018-06-26
3544109,management recommendation,致管理当局函,,管理建议书,2018-06-26
3544110,management representation,管理阶层声明书,,管理层声明书,2018-06-26
3544111,management's expert,管理阶层专家,,nan,2018-06-26
3544112,managerial accounting,管理会计,,管理会计,2018-06-26
3544113,manual controls,人工控制,,nan,2018-06-26
3544114,manufacturing cells,制造单元,,nan,2018-06-26
3544115,manufacturing cycle efficiency {=MCE},制造循环效率,,nan,2018-06-26
3544116,manufacturing cycle time,制造循环时间,,nan,2018-06-26
3544117,manufacturing lead time,制造前置时间,,nan,2018-06-26
3544118,manufacturing overhead,制造费用,,制造费用,2018-06-26
3544119,manufacturing overhead allocated,已分摊制造费用,,nan,2018-06-26
3544120,manufacturing overhead applied,已分摊制造费用,,nan,2018-06-26
3544121,manufacturing overhead costs,制造费用成本,,nan,2018-06-26
3544122,manufacturing-sector companies,制造业,,nan,2018-06-26
3544123,margin of safety,安全余额,,安全边际,2018-06-26
3544124,marginal cost,边际成本,,边际成本,2018-06-26
3544125,market approach,市场法,,nan,2018-06-26
3544126,market condition,市价条件,,nan,2018-06-26
3544127,market efficiency,市场效率性,,市场有效性,2018-06-26
3544128,market maker,造市者,,做市商,2018-06-26
3544129,market participants,市场参与者,,nan,2018-06-26
3544130,market price,市价,,nan,2018-06-26
3544131,market rate of interest,市场利率,,nan,2018-06-26
3544132,market risk,市场风险,,市场风险,2018-06-26
3544133,market to book ratio,市价净值比,,市净率,2018-06-26
3544134,market value,市场价值,,nan,2018-06-26
3544135,market value added {=MVA},市场附加价值,,市场增加值,2018-06-26
3544136,marketable,具市场性,,nan,2018-06-26
3544137,market-corroborated inputs,市场佐证之输入值,,nan,2018-06-26
3544138,marketing,行销,,nan,2018-06-26
3544139,market-share variance,市场占有率差异,,nan,2018-06-26
3544140,market-size variance,市场规模差异,,nan,2018-06-26
3544141,master budget,总预算；整体预算,,全面预算,2018-06-26
3544142,master netting arrangement,净额交割总约定,,nan,2018-06-26
3544143,master-budget capacity utilization,整体预算产能,,nan,2018-06-26
3544144,master-feeder structure,主辅结构,,nan,2018-06-26
3544145,matching of costs with revenues,成本与收入配合,,nan,2018-06-26
3544146,material adjustments,重大调整,,nan,2018-06-26
3544147,material errors,重大错误,,nan,2018-06-26
3544148,material misstatement,重大误述；重大不实表达,,重大错报,2018-06-26
3544149,material omissions,重大遗漏,,nan,2018-06-26
3544150,material weakness,重大缺失,,nan,2018-06-26
3544151,material weakness in internal control,内部控制重大缺失,,重大缺陷,2018-06-26
3544152,materiality,重大性,,nan,2018-06-26
3544153,materiality for the financial statements as a whole,财务报表整体重大性,,nan,2018-06-26
3544154,materiality for the group financial statements as a whole,集团财务报表整体重大性,,nan,2018-06-26
3544155,materiality level,重大性水准,,重要性水平,2018-06-26
3544156,materials cost variance,材料成本差异,,材料成本差异,2018-06-26
3544157,materials requirements planning {=MRP},材料需求规划,,nan,2018-06-26
3544158,materials-requisition record,领料单,,nan,2018-06-26
3544159,matrix method,矩阵法,,nan,2018-06-26
3544160,maturity,到期；满期,,nan,2018-06-26
3544161,maturity value,到期值；满期价值,,nan,2018-06-26
3544162,mean-per-unit estimation,单位平均估计法,,nan,2018-06-26
3544163,measured at fair value through othercomprehensive income,透过其他综合损益按公允价值衡量,,nan,2018-06-26
3544164,measurement,衡量,,nan,2018-06-26
3544165,measurement bases,衡量基础,,nan,2018-06-26
3544166,measurement currency,衡量货币,,nan,2018-06-26
3544167,measurement date,衡量日,,nan,2018-06-26
3544168,measurement of change,转化之衡量,,nan,2018-06-26
3544169,measurement or recognition inconsistency,衡量或认列不一致,,nan,2018-06-26
3544170,merchandising-sector companies,买卖业,,nan,2018-06-26
3544171,merger,合并,,nan,2018-06-26
3544172,mergers and acquisitions {=M&A},购并；并购,,并购,2018-06-26
3544173,mid-market price,市场中价,,nan,2018-06-26
3544174,Miller-Modigliani proposition {=MM proposition},MM定理,,MM定理,2018-06-26
3544175,Miller-Orr model,米勒-欧尔模型,,米勒-奥尔模型,2018-06-26
3544176,minimum funding contributions,最低资金提拨[金],,nan,2018-06-26
3544177,minimum funding requirement,最低资金提拨要求,,nan,2018-06-26
3544178,minimum lease payments,最低租赁给付,,nan,2018-06-26
3544179,minority interest,少数股权,,nan,2018-06-26
3544180,minutes of meetings,议事录,,nan,2018-06-26
3544181,misappropriation of assets,挪用资产,,nan,2018-06-26
3544182,mismatch,配比不当；不当之配比,,nan,2018-06-26
3544183,misstatement,误述；不实表达,,错报,2018-06-26
3544184,misstatements resulting from fraudulent financial reporting,导因于财务报导舞弊之不实表达,,nan,2018-06-26
3544185,misstatements resulting from misappropriation of assets,导因于挪用资产之不实表达,,nan,2018-06-26
3544186,mixed attribute approach,混合属性法,,nan,2018-06-26
3544187,mixed cost,混合成本,,混合成本,2018-06-26
3544188,modified opinion,非无保留意见,,非无保留意见,2018-06-26
3544189,monetary asset,货币性资产,,nan,2018-06-26
3544190,monetary assets,货币性资产,,货币性资产,2018-06-26
3544191,monetary financial assets,货币性金融资产,,nan,2018-06-26
3544192,monetary financial instruments,货币性金融工具,,nan,2018-06-26
3544193,monetary financial liabilities,货币性金融负债,,nan,2018-06-26
3544194,monetary items,货币性项目,,nan,2018-06-26
3544195,monetary unit  assumption,货币单位假设,,nan,2018-06-26
3544196,monetary unit sampling {=MUS},元额抽样,,nan,2018-06-26
3544197,money measurement postulate,货币衡量假设,,货币计量假设,2018-06-26
3544198,monitoring,追踪考核；监督,,nan,2018-06-26
3544199,monitoring of controls,控制之监督,,nan,2018-06-26
3544200,moral hazard,道德危机,,nan,2018-06-26
3544201,mortality risk,死亡率风险,,nan,2018-06-26
3544202,most advantageous market,最有利市场,,nan,2018-06-26
3544203,motivation,动机,,nan,2018-06-26
3544204,multicollinearity,复共线性,,nan,2018-06-26
3544205,multi-employer plans,多雇主计划,,nan,2018-06-26
3544206,multi-location audit,多据点查核,,nan,2018-06-26
3544207,multiple account titles voucher,复式凭证,,复式凭证,2018-06-26
3544208,multiple arrangements,多项安排,,nan,2018-06-26
3544209,multiple embedded derivatives,嵌入多项衍生工具,,nan,2018-06-26
3544210,multiple regression,多元回归,,nan,2018-06-26
3544211,mutual cooperative entity,相互合作个体；相互合作企业,,nan,2018-06-26
3544212,mutual entity,互助个体；互助企业,,nan,2018-06-26
3544213,mutual fund,共同基金,,nan,2018-06-26
3544214,mutual insurance company,相互保险公司；相互保险人,,nan,2018-06-26
3544215,nature of expense method,费用性质法,,nan,2018-06-26
3544216,negative benefit,负福利,,nan,2018-06-26
3544217,negative confirmation,消极式函证,,消极式函证,2018-06-26
3544218,negative goodwill,负商誉,,nan,2018-06-26
3544219,net assets,净资产,,nan,2018-06-26
3544220,net assets available for benefits,可用于福利之净资产,,nan,2018-06-26
3544221,net basis,净额基础,,nan,2018-06-26
3544222,net cash-settled option,净额现金交割选择权,,nan,2018-06-26
3544223,net disposal proceeds,净处分价款,,nan,2018-06-26
3544224,net exchange differences,净兑换差额,,nan,2018-06-26
3544225,net identifiable assets,可辨认净资产,,nan,2018-06-26
3544226,net income,净利,,nan,2018-06-26
3544227,net interest on the net defined benefit asset,净确定福利资产净利息,,nan,2018-06-26
3544228,net interest on the net defined benefitliability,净确定福利负债净利息,,nan,2018-06-26
3544229,net investment hedge,净投资避险,,nan,2018-06-26
3544230,net investment in a foreign operation,国外营运机构净投资,,nan,2018-06-26
3544231,net investment in a lease,租赁净投资,,nan,2018-06-26
3544232,net loss,净损,,nan,2018-06-26
3544233,net monetary position,净货币部位,,nan,2018-06-26
3544234,net position,净部位,,nan,2018-06-26
3544235,net present value {=NPV},净现值,,净现值,2018-06-26
3544236,net present value {=NPV} method,净现值法,,nan,2018-06-26
3544237,net profit,净利,,净利润,2018-06-26
3544238,net profit or loss,净损益,,nan,2018-06-26
3544239,net realisable value,净变现价值,,nan,2018-06-26
3544240,net realizable value,净变现价值,,可变现净值,2018-06-26
3544241,net realizable value {=NRV} method,净变现价值法,,nan,2018-06-26
3544242,net selling price,净售价,,nan,2018-06-26
3544243,net settlement,净额交割,,nan,2018-06-26
3544244,net settlement = Settle net,净额交割,,nan,2018-06-26
3544245,network firm,联盟事务所,,nan,2018-06-26
3544246,neutrality,净额交割,,nan,2018-06-26
3544247,next most senior parent,次一最高层级母公司,,nan,2018-06-26
3544248,nil net position,零净部位,,nan,2018-06-26
3544249,nominal rate of return,名目报酬率,,nan,2018-06-26
3544250,non-adjusting event after the balance sheet date,报导期间后非调整事项,,资产负债表日后非调整事项,2018-06-26
3544251,non-adjusting event after the reporting period,报导期间后非调整事项,,nan,2018-06-26
3544252,non-cancellable lease,不可取消之租赁,,nan,2018-06-26
3544253,non-cash assets,非现金资产,,nan,2018-06-26
3544254,non-cash collateral,非现金担保品,,nan,2018-06-26
3544255,non-cash items,非现金项目,,nan,2018-06-26
3544256,non-controlling interest,非控制权益,,nan,2018-06-26
3544257,non-coterminous year-ends,会计年度结束日不一致,,nan,2018-06-26
3544258,non-current assets,非流动资产,,非流动资产,2018-06-26
3544259,non-current assets (or disposal groups) as held for distribution to owners,待分配予业主之非流动资产(或处分群组),,nan,2018-06-26
3544260,non-current assets held for sale and discontinued operations,待出售非流动资产及停业单位,,nan,2018-06-26
3544261,non-current liabilities,非流动负债,,非流动负债,2018-06-26
3544262,non-depreciable assets,非折旧性资产,,nan,2018-06-26
3544263,non-derivative contract,非衍生合约,,nan,2018-06-26
3544264,non-discretionary,非裁量性；非裁决性,,nan,2018-06-26
3544265,nondiscretionary accrual,非裁决性应计数,,非可操控性应计项目,2018-06-26
3544266,non-discretionary employee profit-sharing plan,非裁量性员工分红计划,,nan,2018-06-26
3544267,non-financial assets,非金融资产,,nan,2018-06-26
3544268,non-financial collateral,非财务担保品,,nan,2018-06-26
3544269,non-investment entity parent,非投资个体母公司；母公司非投资个体,,nan,2018-06-26
3544270,nonlinear cost function,非线性成本函数,,nan,2018-06-26
3544271,non-marketable securities,不具市场性证券,,nan,2018-06-26
3544272,non-monetary asset,非货币性资产,,nan,2018-06-26
3544273,non-monetary assets,非货币性资产,,非货币性资产,2018-06-26
3544274,non-monetary government grants,非货币性政府补助,,nan,2018-06-26
3544275,nonnegligent performance,无过失行为,,nan,2018-06-26
3544276,non-operating expense,营业外费用；营业外费损,,营业外支出,2018-06-26
3544277,non-operating income,营业外收入,,营业外收入,2018-06-26
3544278,non-operating income and expenses,营业外收入及费用,,nan,2018-06-26
3544279,non-owner changes in equity,非业主权益变动,,nan,2018-06-26
3544280,non-performance risk,不履约风险,,nan,2018-06-26
3544281,nonprobabilistic sample selection,非机率性选样,,nan,2018-06-26
3544282,non-public entities,非公开发行个体；非上市企业；非上柜企业,,nan,2018-06-26
3544283,non-puttable ordinary shares,不可卖回之普通股,,nan,2018-06-26
3544284,non-reciprocal distributions of assets,无对价关系之资产分配,,nan,2018-06-26
3544285,non-redeemable,不可赎回,,nan,2018-06-26
3544286,non-refundable purchase taxes,不可退还之进项税额,,nan,2018-06-26
3544287,nonsampling risk,非抽样风险,,nan,2018-06-26
3544288,nonstatistical sampling,非统计抽样,,nan,2018-06-26
3544289,non-value-added activity,无附加价值作业,,非增值作业,2018-06-26
3544290,nonvalue-added cost,无附加价值成本,,nan,2018-06-26
3544291,normal capacity,正常产能,,nan,2018-06-26
3544292,normal capacity utilization,正常产能,,nan,2018-06-26
3544293,normal costing,正常成本法,,nan,2018-06-26
3544294,normal spoilage,正常损坏,,nan,2018-06-26
3544295,normalized profit before tax from continuing operations,常态化继续营业单位税前净利,,nan,2018-06-26
3544296,notes payable,应付票据,,应付票据,2018-06-26
3544297,notes receivable,应收票据,,应收票据,2018-06-26
3544298,not-for-profit organizations,非营利组织,,nan,2018-06-26
3544299,notional amount,名目数量；金额,,nan,2018-06-26
3544300,novation,约务更替,,nan,2018-06-26
3544301,objective function,目标函数,,nan,2018-06-26
3544302,obligating event,义务事项,,nan,2018-06-26
3544303,obligation,义务,,nan,2018-06-26
3544304,obligations for removal and restoration,移除与复原义务,,nan,2018-06-26
3544305,observable inputs,可观察输入值,,nan,2018-06-26
3544306,observable interest rate,可观察利率,,nan,2018-06-26
3544307,observable markets,可观察市场,,nan,2018-06-26
3544308,observation,观察,,nan,2018-06-26
3544309,observed interest rate,观察到之利率,,nan,2018-06-26
3544310,observed market price,观察到之市价,,nan,2018-06-26
3544311,obsolescence,陈旧；过时,,nan,2018-06-26
3544312,obtaining control,取得控制,,nan,2018-06-26
3544313,occurrence assertion,发生声明,,nan,2018-06-26
3544314,occurrence date,发生日,,nan,2018-06-26
3544315,off balance sheet vehicles,资产负债表外载具,,nan,2018-06-26
3544316,offer price,报价,,nan,2018-06-26
3544317,offset,互抵,,nan,2018-06-26
3544318,offsetting,互抵,,nan,2018-06-26
3544319,offsetting financial assets and financial liabilities,金融资产及金融负债之互抵,,nan,2018-06-26
3544320,Ohlson model,Ohlson模型,,Ohlson模型,2018-06-26
3544321,onerous contract,亏损性合约,,nan,2018-06-26
3544322,onerous minimum funding requirements,亏损性最低资金提拨要求,,nan,2018-06-26
3544323,one-time-only special order,仅一次特殊订单,,nan,2018-06-26
3544324,ongoing access,持续取用,,nan,2018-06-26
3544325,on-time performance,准时绩效,,nan,2018-06-26
3544326,opening balance,初始余额,,nan,2018-06-26
3544327,opening IFRS statement of financial position,采用国际财务报导准则之初始财务状况表,,nan,2018-06-26
3544328,open-market purchase,公开市场买回,,公开市场回购,2018-06-26
3544329,operating activities,营业活动,,nan,2018-06-26
3544330,operating budget,营业预算,,nan,2018-06-26
3544331,operating cost,营业成本,,营业成本,2018-06-26
3544332,operating cycle,营业周期,,经营周期,2018-06-26
3544333,operating cycle,营业周期,,nan,2018-06-26
3544334,operating department,营业部门,,nan,2018-06-26
3544335,operating income,营业利益,,nan,2018-06-26
3544336,operating lease,营业租赁,,nan,2018-06-26
3544337,operating leasing,营业租赁,,经营租赁,2018-06-26
3544338,operating leverage,营业杠杆,,经营杠杆,2018-06-26
3544339,operating revenue,营业收入,,营业收入,2018-06-26
3544340,operating Segments,营运部门,,nan,2018-06-26
3544341,operating-income volume variance,营业收入量差,,nan,2018-06-26
3544342,operational audit,作业审计,,nan,2018-06-26
3544343,operational auditing,作业审计,,nan,2018-06-26
3544344,operation-costing system,生产成本制度,,nan,2018-06-26
3544345,opportunity cost,机会成本,,机会成本,2018-06-26
3544346,opportunity cost of capital,资金机会成本,,nan,2018-06-26
3544347,optimal capital structure,最适资本结构,,最优资本结构,2018-06-26
3544348,option,选择权,,nan,2018-06-26
3544349,option contract,选择权合约,,nan,2018-06-26
3544350,option premium,选择权权利金,,期权费,2018-06-26
3544351,option pricing model,选择权定价模式,,nan,2018-06-26
3544352,ordering costs,订购成本,,nan,2018-06-26
3544353,orderly transaction,有秩序之交易,,nan,2018-06-26
3544354,ordinary activities,正常活动,,nan,2018-06-26
3544355,ordinary annuity,普通年金,,普通年金,2018-06-26
3544356,ordinary course of business,正常营业过程,,nan,2018-06-26
3544357,ordinary equity holders,普通股权益持有人,,nan,2018-06-26
3544358,ordinary share,普通股,,普通股,2018-06-26
3544359,organizational structure,组织结构,,nan,2018-06-26
3544360,original asset,原始资产,,nan,2018-06-26
3544361,original cost,原始成本,,nan,2018-06-26
3544362,original voucher,原始凭证,,原始凭证,2018-06-26
3544363,originated loan approach,创始放款法,,nan,2018-06-26
3544364,originator of the financial asset,金融资产之创始者,,nan,2018-06-26
3544365,other components of equity,其他权益组成部分,,nan,2018-06-26
3544366,other comprehensive income,其他综合损益,,nan,2018-06-26
3544367,other information included in annual reports,年报内与财务报表并列之其它资讯,,nan,2018-06-26
3544368,other operating cost,其他营业成本,,其他业务成本,2018-06-26
3544369,other operating revenue,其他营业收入,,其他业务收入,2018-06-26
3544370,other payables,其他应付款,,其他应付款,2018-06-26
3544371,other receivables,其他应收款,,其他应收款,2018-06-26
3544372,out of the money,价外,,nan,2018-06-26
3544373,outcomes,后果,,nan,2018-06-26
3544374,output controls,输出控制,,nan,2018-06-26
3544375,output unit-level costs,产出单位水准成本,,nan,2018-06-26
3544376,outright sale,卖断,,nan,2018-06-26
3544377,outsourcing,外供,,nan,2018-06-26
3544378,outsourcing arrangements,委外安排,,nan,2018-06-26
3544379,outsourcing provider,委外服务提供者,,nan,2018-06-26
3544380,overabsorbed indirect costs,多吸收间接成本,,nan,2018-06-26
3544381,overall responses,整体查核对策,,nan,2018-06-26
3544382,overallocated indirect costs,多分摊间接成本,,nan,2018-06-26
3544383,overapplied indirect costs,多分摊间接成本,,nan,2018-06-26
3544384,overdraft,透支,,透支,2018-06-26
3544385,overheads,费用,,nan,2018-06-26
3544386,oversubscription,超额认购,,超额认购,2018-06-26
3544387,over-the-counter market,店头市场,,nan,2018-06-26
3544388,overtime premium,加班津贴,,nan,2018-06-26
3544389,own credit risk,本身信用风险,,nan,2018-06-26
3544390,owner,业主,,nan,2018-06-26
3544391,owner changes in equity,业主权益变动,,nan,2018-06-26
3544392,owner-occupied property,自用不动产,,nan,2018-06-26
3544393,owners' equity,业主权益,,所有者权益,2018-06-26
3544394,ownership interest,所有权权益；业主权益,,nan,2018-06-26
3544395,paid in capital,投入资本,,nan,2018-06-26
3544396,paid-in capital,投入股本,,实收资本,2018-06-26
3544397,parallel simulation testing,平行模拟法,,nan,2018-06-26
3544398,parallel testing,平行模拟法,,nan,2018-06-26
3544399,parent,母公司,,nan,2018-06-26
3544400,parent-subsidiary relationship,母子[公司]关系,,nan,2018-06-26
3544401,Pareto diagram,柏拉图图,,nan,2018-06-26
3544402,partial productivity,部分生产力,,nan,2018-06-26
3544403,partially-owned subsidiary,部分拥有之子公司,,nan,2018-06-26
3544404,participating equity instruments,参加权益工具,,nan,2018-06-26
3544405,participating preference share,参加特别股,,可参与优先股,2018-06-26
3544406,participating preferred stock,参加特别股,,可参与优先股,2018-06-26
3544407,pass-through arrangement,转手协议,,nan,2018-06-26
3544408,past service cost,前期服务成本,,nan,2018-06-26
3544409,payables,应付款,,nan,2018-06-26
3544410,payables turnover,应付款项周转率,,应付账款周转率,2018-06-26
3544411,payback method,回收期间法,,nan,2018-06-26
3544412,payback period,回收期间；还本期间,,投资回收期,2018-06-26
3544413,payment voucher,支出传票,,付款凭证,2018-06-26
3544414,pay-performance sensitivity,薪酬-绩效敏感度,,薪酬业绩敏感度,2018-06-26
3544415,payroll and personnel cycle,薪工循环,,nan,2018-06-26
3544416,payroll master file,薪资主档,,nan,2018-06-26
3544417,peak-load pricing,尖峰负荷订价,,nan,2018-06-26
3544418,pecking order theory,融资顺位理论,,优序融资理论,2018-06-26
3544419,peer review,同业评鉴,,同业互查,2018-06-26
3544420,pension,退休金,,nan,2018-06-26
3544421,pension liability,退休金负债,,nan,2018-06-26
3544422,percentage of completion method,完工百分比法,,nan,2018-06-26
3544423,perfectly competitive market,完全竞争市场,,nan,2018-06-26
3544424,performance audit,绩效审计,,绩效审计,2018-06-26
3544425,performance conditions,绩效条件,,nan,2018-06-26
3544426,performance materiality,执行重大性,,nan,2018-06-26
3544427,period costs,期间成本,,nan,2018-06-26
3544428,period expense,期间费用,,期间费用,2018-06-26
3544429,period of service,服务期间,,nan,2018-06-26
3544430,periodic inventory system,实地盘存制；实地盘点制,,实地盘存制,2018-06-26
3544431,permanent files,永久性档案,,nan,2018-06-26
3544432,perpetual annuity,永续年金,,永续年金,2018-06-26
3544433,perpetual debt instruments,无到期日债务工具,,nan,2018-06-26
3544434,perpetual inventory system,永续盘存制,,永续盘存制,2018-06-26
3544435,perpetuity,永续年金,,永续年金,2018-06-26
3544436,persistency bonus,持续红利,,nan,2018-06-26
3544437,persuasiveness of evidence,证据说服力,,nan,2018-06-26
3544438,petty cash,零用金,,nan,2018-06-26
3544439,phantom shares,虚拟股份,,nan,2018-06-26
3544440,phantom stock,虚拟股票,,虚拟股票,2018-06-26
3544441,physical capital,实体资本,,nan,2018-06-26
3544442,physical inventory,实地盘点；实地盘存,,财产清查,2018-06-26
3544443,physical-measure method,实体数量法,,nan,2018-06-26
3544444,pilot testing,前导测试,,nan,2018-06-26
3544445,plan assets,计划资产{退休金计划之资产},,nan,2018-06-26
3544446,planned detection risk,可接受侦查风险；规划之侦查风险,,nan,2018-06-26
3544447,planning,规划,,nan,2018-06-26
3544448,planning activities,规划作业,,nan,2018-06-26
3544449,point estimate,点估计；单一金额估计,,nan,2018-06-26
3544450,policyholder,保单持有人,,nan,2018-06-26
